Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P54116	P54116	5	5	5	Erythrocyte band 7 integral membrane protein	Stom	sp|P54116|STOM_MOUSE Stomatin OS=Mus musculus OX=10090 GN=Stom PE=1 SV=3	1	5	5	5	22.5	22.5	22.5	31.375	284	284	3.25	2	1	2		2	1			0	30.219	37248000	15018000	33581000	20117000	19645000	20095000	430970	14000000	16424000	21143000	35098000	14086000	34193000	19970000	20149000	20327000	1950500	15021000	15365000	20149000	8	8	8	7	8	8	7	8	8	8	1371400000	7				612	2886;5408;8559;13455;14736	True;True;True;True;True	3091;5746;9079;14367;15744	8219;15188;15189;23505;23506;37044;40689;40690	8649;15915;15916;24581;38483;42330;42331	8649;15916;24581;38483;42331			-1
Q80UW5;P54265-4;P54265-6;P54265-5;P54265-7;P54265-10;P54265-2;P54265-3;P54265-9;P54265;P54265-8	Q80UW5;P54265-4;P54265-6;P54265-5;P54265-7;P54265-10;P54265-2;P54265-3;P54265-9;P54265;P54265-8	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	Serine/threonine-protein kinase MRCK gamma;Myotonin-protein kinase	Cdc42bpg;Dmpk	sp|Q80UW5|MRCKG_MOUSE Serine/threonine-protein kinase MRCK gamma OS=Mus musculus OX=10090 GN=Cdc42bpg PE=1 SV=2;sp|P54265-4|DMPK_MOUSE Isoform 4 of Myotonin-protein kinase OS=Mus musculus OX=10090 GN=Dmpk;sp|P54265-6|DMPK_MOUSE Isoform 6 of Myotonin-protei	11	1	1	1	0.5	0.5	0.5	172.14	1551	1551;411;532;537;557;562;602;626;627;631;632	6.2	1						2	2	0.0076596	1.1967	2070300	4187900	5958200	4543800	4443500	3971900	49768	2917000	3193200	4821500	1973900	3919100	5796000	4580400	4467200	4057500	384250	3134400	2986200	4584900	4	4	4	4	4	4	4	4	4	4	367510000	3				613	2096	TRUE	2243	5930;5931;5932;5933;5934	6200;6201;6202	6200			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
P54310-2;P54310	P54310-2;P54310	35;34	35;34	35;34	Hormone-sensitive lipase	Lipe	sp|P54310-2|LIPS_MOUSE Isoform 2 of Hormone-sensitive lipase OS=Mus musculus OX=10090 GN=Lipe;sp|P54310|LIPS_MOUSE Hormone-sensitive lipase OS=Mus musculus OX=10090 GN=Lipe PE=1 SV=2	2	35	35	35	49.5	49.5	49.5	88.026	802	802;759	5.11	4	11	8	11	21	18	21	9	0	323.31	822460000	394930000	846980000	473700000	375390000	432910000	4045800	439320000	524660000	562530000	775590000	369970000	853280000	474770000	396080000	444070000	38416000	456780000	490430000	538460000	104	104	104	104	104	104	66	104	104	104	57252000000	108				614	28;65;955;1138;1161;1436;2019;2392;2646;3930;6022;6669;8082;8451;8491;8756;8757;9098;9225;9391;10037;10445;11153;11185;11296;11299;12118;12247;12248;12684;12727;12905;12906;13872;14175	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	28;69;1013;1014;1212;1235;1236;1542;2156;2555;2835;4191;6389;7073;8565;8960;9004;9281;9282;9283;9651;9780;9958;10738;11177;11916;11951;12065;12066;12069;12950;13086;13087;13542;13587;13779;13780;13781;14821;14822;15142	52;166;167;168;169;170;2709;2710;2711;2712;2713;3224;3225;3279;3280;3281;3282;3283;3284;3285;3286;4113;5701;6763;6764;6765;7548;7549;7550;11028;11029;16888;16889;18603;18604;22192;22193;22194;22195;22196;22197;23234;23235;23236;23347;23348;23349;23350;24077;24078;24079;24080;24081;24082;24083;24084;24085;24086;25113;25114;25367;25368;25834;25835;25836;27883;28943;30647;30648;30649;30650;30651;30729;30730;30731;30982;30983;30984;30989;33360;33689;33690;33691;33692;34826;34919;34920;35374;35375;35376;35377;35378;35379;35380;35381;35382;38248;38249;38250;38251;38252;39083;39084	55;167;168;169;170;2856;2857;2858;2859;2860;3398;3399;3454;3455;3456;3457;3458;4312;5949;7083;7084;7085;7907;7908;7909;7910;11605;11606;17688;19408;19409;23212;23213;23214;23215;23216;23217;23218;24290;24291;24292;24293;24411;24412;24413;24414;24415;24416;25226;25227;25228;25229;25230;25231;25232;25233;25234;26292;26293;26294;26295;26572;26573;27044;27045;27046;27047;29092;30192;31941;31942;31943;31944;31945;32020;32021;32022;32023;32266;32267;32268;32273;32274;34671;34985;34986;34987;34988;34989;34990;36169;36264;36736;36737;36738;36739;36740;36741;39738;39739;39740;39741;39742;39743;40628;40629;40630;40631	55;169;2858;3398;3457;4312;5949;7083;7910;11605;17688;19409;23212;24293;24414;25230;25234;26294;26572;27046;29092;30192;31943;32022;32266;32273;34671;34986;34987;36169;36264;36738;36741;39741;40628	429;430;431;432;433;434	167;491;512;547;597;700	-1;-1
P54726	P54726	2	2	2	UV excision repair protein RAD23 homolog A	Rad23a	sp|P54726|RD23A_MOUSE UV excision repair protein RAD23 homolog A OS=Mus musculus OX=10090 GN=Rad23a PE=1 SV=2	1	2	2	2	5	5	5	39.706	363	363	7.33							2	1	0	2.4639	4192500	3480300	5385500	3771000	3493600	3467300	83439	4089200	4156800	5996500	3959600	3256900	5376900	3804600	3551600	3570200	396020	4247700	3887900	5718700	3	3	3	3	3	3	3	3	3	3	247240000	2				615	1812;5515	True;True	1934;5861	5137;15471;15472	5387;16199	5387;16199			-1
P54775	P54775	10	10	10	26S protease regulatory subunit 6B	Psmc4	sp|P54775|PRS6B_MOUSE 26S proteasome regulatory subunit 6B OS=Mus musculus OX=10090 GN=Psmc4 PE=1 SV=2	1	10	10	10	30.1	30.1	30.1	47.408	418	418	4.29	1	2	4	3	2	2	2	1	0	97.498	34927000	18397000	33552000	20012000	18262000	16742000	161750	17736000	21045000	25086000	32923000	17217000	34000000	20157000	18851000	17300000	1734300	18491000	19672000	23946000	14	14	14	14	14	14	9	14	14	14	1353200000	15				616	1664;2900;3491;6819;7039;8417;9739;10953;11135;14199	True;True;True;True;True;True;True;True;True;True	1777;3105;3720;7230;7471;8924;10333;11708;11898;15167	4678;8251;9820;9821;9822;18979;19591;23147;26789;26790;26791;30130;30131;30132;30133;30584;39186	4892;8689;10321;10322;19776;20441;20442;24204;24205;28028;28029;31423;31424;31877;40749	4892;8689;10322;19776;20442;24205;28029;31424;31877;40749			-1
P54822	P54822	3	3	3	Adenylosuccinate lyase	Adsl	sp|P54822|PUR8_MOUSE Adenylosuccinate lyase OS=Mus musculus OX=10090 GN=Adsl PE=1 SV=2	1	3	3	3	8.5	8.5	8.5	54.866	484	484	5.8		1			1		2	1	0	73.515	13189000	8003300	14658000	10024000	9321000	6737900	127110	7656100	8138300	10353000	12444000	7500900	14743000	9980400	9488800	7100100	867630	7942400	7610300	9894400	7	7	7	7	7	7	5	7	7	7	1570400000	7				617	466;5737;13743	True;True;True	493;6093;14675	1306;16083;16084;16085;37865	1360;16827;16828;16829;16830;16831;39351	1360;16827;39351			-1
P54823	P54823	3	3	3	Probable ATP-dependent RNA helicase DDX6	Ddx6	sp|P54823|DDX6_MOUSE Probable ATP-dependent RNA helicase DDX6 OS=Mus musculus OX=10090 GN=Ddx6 PE=1 SV=1	1	3	3	3	6.8	6.8	6.8	54.191	483	483	5.25	1				1		1	1	0	10.809	7914600	5257500	8841300	5399300	5595400	4910800	29578	4428800	4231200	6496400	7467500	4917600	8890000	5466500	5696500	5024500	424760	4665400	3954100	6195400	5	5	5	5	5	5	2	5	5	5	692320000	5				618	5878;11631;13434	True;True;True	6240;12425;14345	16485;16486;31889;36996	17239;17240;17241;33156;38437	17239;33156;38437			-1
P54923	P54923	3	3	3	[Protein ADP-ribosylarginine] hydrolase	Adprh	sp|P54923|ADPRH_MOUSE [Protein ADP-ribosylarginine] hydrolase OS=Mus musculus OX=10090 GN=Adprh PE=1 SV=1	1	3	3	3	9.9	9.9	9.9	40.068	362	362	4.33			1		2				0	4.5602	14536000	7514800	15785000	10491000	9797900	6856500	168150	5686300	6652100	8703300	13712000	7052000	15894000	10379000	9995000	7188000	856580	6042400	6221700	8291200	3	3	3	3	3	3	2	3	3	3	456160000	3				619	4999;7784;9676	True;True;True	5313;8250;10257	14013;21320;26624	14715;22285;27857	14715;22285;27857			-1
P55012	P55012	1	1	1	Solute carrier family 12 member 2	Slc12a2	sp|P55012|S12A2_MOUSE Solute carrier family 12 member 2 OS=Mus musculus OX=10090 GN=Slc12a2 PE=1 SV=2	1	1	1	1	1.7	1.7	1.7	131.03	1205	1205	5					1				0	13.016	2171800	1118800	2149200	1547900	1657600	1078600	8800.6	878510	1078300	1485000	2047500	1049800	2181000	1533300	1662200	1123900	129370	939440	1008000	1411400	2	2	2	2	2	2	1	2	2	2	100430000	2				620	0	TRUE	0	0	0;1	0			-1
P55096	P55096	10	10	10	ATP-binding cassette sub-family D member 3	Abcd3	sp|P55096|ABCD3_MOUSE ATP-binding cassette sub-family D member 3 OS=Mus musculus OX=10090 GN=Abcd3 PE=1 SV=2	1	10	10	10	17.5	17.5	17.5	75.474	659	659	4.43	1	1	2	3	3	3		1	0	68.089	46876000	24642000	44427000	35927000	32467000	25263000	428620	21839000	24399000	34702000	44183000	23137000	45182000	35493000	32689000	26336000	2855500	23184000	22816000	33030000	12	12	12	12	12	12	9	12	12	12	3998600000	13				621	3095;3889;4967;5034;6277;7096;7467;11002;13390;13657	True;True;True;True;True;True;True;True;True;True	3304;4147;5281;5350;6663;7531;7918;11760;14298;14583	8710;8711;10898;10899;13904;14146;14147;17578;19736;20653;20654;30267;36874;37624	9187;11454;11455;14596;14854;18384;18385;20598;21558;21559;31567;38317;39091	9187;11455;14596;14854;18384;20598;21558;31567;38317;39091			-1
P55258;P61028;Q9DD03;P63011;Q9CZT8;P62823	P55258;P61028;Q9DD03	4;2;2;1;1;1	3;1;1;1;1;1	2;0;0;0;0;0	Ras-related protein Rab-8A;Ras-related protein Rab-8B;Ras-related protein Rab-13	Rab8a;Rab8b;Rab13	sp|P55258|RAB8A_MOUSE Ras-related protein Rab-8A OS=Mus musculus OX=10090 GN=Rab8a PE=1 SV=2;sp|P61028|RAB8B_MOUSE Ras-related protein Rab-8B OS=Mus musculus OX=10090 GN=Rab8b PE=1 SV=1;sp|Q9DD03|RAB13_MOUSE Ras-related protein Rab-13 OS=Mus musculus OX=10	6	4	3	2	19.8	14.5	10.6	23.668	207	207;207;202;220;219;227	4.56	1	3	1				1	3	0	91.579	30115000	11599000	29395000	16440000	15578000	14342000	151750	10933000	12538000	17798000	28390000	10887000	29750000	16311000	16123000	14664000	1324500	11708000	11722000	16931000	5	5	5	5	5	5	3	5	5	5	2131500000	7				622	1211;7859;8690;12588	True;True;False;True	1307;8329;9213;13443	3482;3483;3484;3485;21518;21519;21520;23858;23859;23860;23861;23862;23863;23864;23865;23866;23867;23868;34575;34576	3655;3656;22472;22473;22474;24980;24981;24982;24983;24984;24985;24986;24987;24988;24989;24990;24991;24992;35912;35913	3655;22472;24980;35913			-1;-1;-1;-1;-1;-1
P55264-2;P55264	P55264-2;P55264	10;9	10;9	10;9	Adenosine kinase	Adk	sp|P55264-2|ADK_MOUSE Isoform Short of Adenosine kinase OS=Mus musculus OX=10090 GN=Adk;sp|P55264|ADK_MOUSE Adenosine kinase OS=Mus musculus OX=10090 GN=Adk PE=1 SV=2	2	10	10	10	41.4	41.4	41.4	38.451	345	345;361	4.35	1	1	5	2	3	3	1	1	0	70.192	58503000	19574000	40934000	30759000	28713000	15357000	297560	22129000	22231000	30209000	55060000	18397000	42574000	30171000	28997000	16804000	2444200	22753000	20785000	28864000	14	14	14	14	14	14	11	14	14	14	3160500000	15				623	33;181;561;3322;10295;11887;12479;12871;13107;14851	True;True;True;True;True;True;True;True;True;True	33;193;592;3544;11020;12696;13329;13743;14004;15867	59;60;491;492;1573;1574;9348;9349;28573;28574;32733;34241;35291;36079;36080;40957;40958	61;518;519;1661;1662;9815;9816;29799;34041;35559;36647;37479;37480;37481;42596	61;518;1661;9816;29799;34041;35559;36647;37479;42596	435	12	-1;-1
P55284	P55284	6	6	6	Cadherin-5	Cdh5	sp|P55284|CADH5_MOUSE Cadherin-5 OS=Mus musculus OX=10090 GN=Cdh5 PE=1 SV=2	1	6	6	6	9.9	9.9	9.9	87.902	784	784	5.71		1	1		1		2	2	0	106.76	7112200	3938200	11368000	4279200	4279400	4408200	135750	3970200	4366400	5499500	6729700	3685500	11194000	4324300	4610700	4474400	472500	4169300	4084900	5252600	5	5	5	5	5	5	3	5	5	5	904190000	7				624	5352;6442;7620;7882;9834;14909	True;True;True;True;True;True	5688;6833;8080;8355;10474;15926	15037;17940;17941;20989;21594;27156;41095	15755;18765;18766;21913;22538;28378;42737	15755;18765;21913;22538;28378;42737			-1
P56135	P56135	3	3	3	"ATP synthase subunit f, mitochondrial"	Atp5j2	"sp|P56135|ATPK_MOUSE ATP synthase subunit f, mitochondrial OS=Mus musculus OX=10090 GN=Atp5mf PE=1 SV=3"	1	3	3	3	27.3	27.3	27.3	10.344	88	88	4.17	1	1		1	2			1	0	73.869	26258000	12594000	26007000	18989000	17682000	8092000	110050	9930200	10055000	14197000	24756000	11831000	26355000	18640000	17899000	8983900	1349300	10312000	9400300	13548000	5	5	5	5	5	5	4	5	5	5	2815000000	5				625	2175;2176;8235	True;True;True	2325;2326;8727	6173;6174;6175;6176;22573;22574	6473;6474;6475;6476;23608	6473;6476;23608			-1
P56212;P56212-2	P56212;P56212-2	2;1	2;1	2;1	cAMP-regulated phosphoprotein 19	Arpp19	sp|P56212|ARP19_MOUSE cAMP-regulated phosphoprotein 19 OS=Mus musculus OX=10090 GN=Arpp19 PE=1 SV=2;sp|P56212-2|ARP19_MOUSE Isoform ARPP-16 of cAMP-regulated phosphoprotein 19 OS=Mus musculus OX=10090 GN=Arpp19	2	2	2	2	27.7	27.7	27.7	12.293	112	112;96	3	1				1				0	24.523	787200	793730	1234300	762970	608850	495970	0	743190	615340	966270	744730	741980	1218600	772880	634640	528930	49069	760610	574980	924520	1	1	1	1	1	1	0	1	1	1	32607000	2				626	1429;11413	True;True	1535;12192	4093;31313	4291;32583	4291;32583			-1;-1
Q91ZR1;P56371	Q91ZR1;P56371	1;1	1;1	1;1	Ras-related protein Rab-4B;Ras-related protein Rab-4A	Rab4b;Rab4a	sp|Q91ZR1|RAB4B_MOUSE Ras-related protein Rab-4B OS=Mus musculus OX=10090 GN=Rab4b PE=1 SV=2;sp|P56371|RAB4A_MOUSE Ras-related protein Rab-4A OS=Mus musculus OX=10090 GN=Rab4a PE=1 SV=2	2	1	1	1	6.6	6.6	6.6	23.629	213	213;218	1	1								0	7.6449	930380	823490	1233400	868920	890410	713260	6517	814370	756880	1041200	878910	770440	1231000	876790	897230	739590	77470	841920	707600	996710	1	1	1	1	1	1	1	1	1	1	46657000	1				627	4388	TRUE	4677	12288	12921	12921			-1;-1
P56375	P56375	5	5	5	Acylphosphatase-2	Acyp2	sp|P56375|ACYP2_MOUSE Acylphosphatase-2 OS=Mus musculus OX=10090 GN=Acyp2 PE=1 SV=2	1	5	5	5	32.1	32.1	32.1	11.877	106	106	5.86			1	2	2	4	3	2	0	195.46	41070000	24904000	41866000	33297000	25355000	23074000	657340	21060000	23320000	33223000	38727000	23358000	42305000	33040000	25927000	24114000	2661100	22276000	21817000	31627000	11	11	11	11	11	11	8	11	11	11	5199700000	12				628	5297;8118;8119;11009;12209	True;True;True;True;True	5620;8601;8602;11767;13045	14841;14842;14843;22268;22269;22270;22271;30279;30280;33587;33588;33589;33590;33591	15563;15564;15565;23287;23288;23289;31579;34893;34894;34895;34896;34897	15563;23288;23289;31579;34897			-1
P56376	P56376	3	3	3	Acylphosphatase-1	Acyp1	sp|P56376|ACYP1_MOUSE Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2	1	3	3	3	43.4	43.4	43.4	11.241	99	99	4.5	2							2	0	71.992	1314900	1051700	1685500	1001500	901640	980170	20762	945170	1022300	1358000	1241800	983040	1680100	1020700	932680	999670	99875	990630	956160	1295700	2	2	2	2	2	2	2	2	2	2	167620000	4				629	372;5749;13463	True;True;True	396;6107;14375	1064;16117;16118;37062	1106;16862;16863;38498	1106;16863;38498			-1
P56379	P56379	1	1	1	6.8 kDa mitochondrial proteolipid	Mp68	"sp|P56379|ATP68_MOUSE ATP synthase subunit ATP5MPL, mitochondrial OS=Mus musculus OX=10090 GN=Atp5mpl PE=1 SV=1"	1	1	1	1	13.8	13.8	13.8	6.6979	58	58	5					1				0	3.0681	16323000	4778400	6634300	6976600	8195700	1194200	0	1498400	1188500	1660200	15336000	4486700	7382400	6829700	7998700	1589500	432920	1548500	1109100	1596400	1	1	1	1	1	1	0	1	1	1	370730000	1				630	9782	TRUE	10396	26966	28199	28199			-1
P56380	P56380	3	3	3	Bis(5-nucleosyl)-tetraphosphatase [asymmetrical]	Nudt2	sp|P56380|AP4A_MOUSE Bis(5-nucleosyl)-tetraphosphatase [asymmetrical] OS=Mus musculus OX=10090 GN=Nudt2 PE=1 SV=3	1	3	3	3	25.9	25.9	25.9	16.989	147	147	4.4	1			1	1	2			0	7.0301	14709000	7373900	15071000	7840000	8254100	7374900	29127	5338200	6364300	7935400	13871000	6899300	15212000	7922700	8514200	7494300	645270	5708200	5948100	7565200	4	4	4	4	4	4	2	4	4	4	718410000	5				631	241;1610;4930	True;True;True	255;1721;5243	693;694;4561;4562;13796	727;4781;4782;4783;14493	727;4782;14493			-1
P56382	P56382	1	1	1	"ATP synthase subunit epsilon, mitochondrial"	Atp5e	"sp|P56382|ATP5E_MOUSE ATP synthase subunit epsilon, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1e PE=1 SV=2"	1	1	1	1	15.4	15.4	15.4	5.8378	52	52	4.5	1							1	0	2.8547	21169000	7222200	14876000	8279100	9947300	6326200	32815	6103800	5259800	7731400	19924000	6762400	15459000	8300500	10082000	6566400	698100	6364600	4915800	7402900	2	2	2	2	2	2	1	2	2	2	1087400000	2				632	10421	TRUE	11152	28858;28859	30109;30110	30110			-1
P56387	P56387	1	1	1	Dynein light chain Tctex-type 3	Dynlt3	sp|P56387|DYLT3_MOUSE Dynein light chain Tctex-type 3 OS=Mus musculus OX=10090 GN=Dynlt3 PE=1 SV=1	1	1	1	1	20.7	20.7	20.7	12.957	116	116	8								1	0	30.096	500460	426890	717840	432090	422730	463850	0	410730	432160	508670	473080	399240	712390	439110	432850	469480	26442	429530	403500	487380	1	1	1	1	1	1	0	1	1	1	335140000	1				633	12005	TRUE	12827	33043	34354	34354			-1
P56391	P56391	11	11	11	Cytochrome c oxidase subunit 6B1	Cox6b1	sp|P56391|CX6B1_MOUSE Cytochrome c oxidase subunit 6B1 OS=Mus musculus OX=10090 GN=Cox6b1 PE=1 SV=2	1	11	11	11	72.1	72.1	72.1	10.071	86	86	4.77	5	8	5	3	6	3	8	9	0	323.31	537690000	374430000	759170000	345770000	316790000	335910000	1565000	328940000	317450000	513250000	508210000	349880000	752000000	353190000	336610000	342890000	26632000	345950000	296670000	488730000	50	49	50	50	50	50	38	50	50	50	1.1727E+11	55				634	4226;4798;4799;6238;6239;10019;11774;11775;11776;12344;12345	True;True;True;True;True;True;True;True;True;True;True	4507;5107;5108;6620;6621;10720;12576;12577;12578;13191;13192	11876;13434;13435;13436;13437;13438;13439;13440;13441;13442;13443;13444;17457;17458;17459;17460;17461;17462;17463;17464;17465;17466;17467;27836;27837;27838;27839;27840;27841;32426;32427;32428;32429;32430;32431;32432;32433;32434;32435;32436;32437;33929;33930;33931;33932;33933;33934	12478;14114;14115;14116;14117;14118;14119;14120;14121;14122;14123;14124;14125;14126;14127;14128;18259;18260;18261;18262;18263;18264;18265;18266;18267;18268;18269;29034;29035;29036;29037;29038;29039;33735;33736;33737;33738;33739;33740;33741;33742;33743;33744;33745;33746;33747;33748;35244;35245;35246;35247;35248;35249;35250;35251	12478;14117;14127;18259;18263;29035;33737;33741;33748;35244;35249			-1
P56392	P56392	2	2	2	"Cytochrome c oxidase subunit 7A1, mitochondrial"	Cox7a1	"sp|P56392|CX7A1_MOUSE Cytochrome c oxidase subunit 7A1, mitochondrial OS=Mus musculus OX=10090 GN=Cox7a1 PE=1 SV=1"	1	2	2	2	28.8	28.8	28.8	8.9863	80	80	5.6			1	2	4	4	3	1	0	28.376	121490000	47578000	133410000	67576000	60588000	37874000	1128400	37676000	45282000	65731000	114610000	44658000	133920000	66688000	63765000	40476000	5663100	39922000	42359000	62431000	13	13	13	13	13	13	11	13	13	13	58541000000	14				635	4819;8173	True;True	5128;5129;8659	13491;13492;13493;13494;13495;13496;13497;22404;22405;22406;22407;22408;22409;22410;22411	14172;14173;14174;14175;14176;23430;23431;23432;23433;23434;23435;23436;23437;23438	14172;23437	436	48	-1
P56393	P56393	1	1	1	"Cytochrome c oxidase subunit 7B, mitochondrial"	Cox7b	"sp|P56393|COX7B_MOUSE Cytochrome c oxidase subunit 7B, mitochondrial OS=Mus musculus OX=10090 GN=Cox7b PE=3 SV=1"	1	1	1	1	10	10	10	9.0113	80	80	8								2	0.0026774	1.769	1004600	1165500	2164300	1118800	1032200	758310	27136	788900	863440	1289500	953740	1089500	2112600	1133900	1080600	796570	107750	830110	807950	1226500	2	2	2	2	2	2	2	2	2	2	44175000	2				636	10902	TRUE	11655	30025;30026	31330;31331	31331			-1
P56394	P56394	3	3	3	Cytochrome c oxidase copper chaperone	Cox17	sp|P56394|COX17_MOUSE Cytochrome c oxidase copper chaperone OS=Mus musculus OX=10090 GN=Cox17 PE=1 SV=2	1	3	3	3	60.3	60.3	60.3	6.784	63	63	3.75		2	2	2		2			0	19.655	9189800	3938000	7235800	4484800	4006300	4370900	63801	5036800	5725200	7500900	8653600	3687100	7437400	4514100	4129700	4480600	453620	5241000	5353000	7150600	6	6	6	6	6	6	5	6	6	6	613640000	6				637	1386;4633;10330	True;True;True	1490;4934;11056	3996;12962;12963;12964;12965;12966;28636;28637	4195;13609;13610;13611;29868;29869	4195;13610;29868			-1
P56395	P56395	6	6	6	Cytochrome b5	Cyb5a	sp|P56395|CYB5_MOUSE Cytochrome b5 OS=Mus musculus OX=10090 GN=Cyb5a PE=1 SV=2	1	6	6	6	47.8	47.8	47.8	15.241	134	134	3.05	4	4	3	5	1	2			0	116.84	72218000	25286000	64559000	32880000	30882000	26047000	156670	24338000	30735000	37771000	68048000	23709000	65671000	32732000	32301000	26940000	2465800	25673000	28726000	35971000	19	19	19	19	19	19	11	19	19	19	14727000000	18				638	3581;4127;4128;12194;12996;14946	True;True;True;True;True;True	3823;4403;4404;13030;13881;15963	10103;10104;11612;11613;11614;11615;11616;11617;11618;33557;33558;33559;33560;35723;35724;41175;41176;41177;41178	10616;10617;12214;12215;12216;12217;12218;12219;34862;34863;34864;37113;37114;42812;42813;42814;42815;42816	10616;12215;12217;34862;37113;42814			-1
P56399	P56399	10	10	10	Ubiquitin carboxyl-terminal hydrolase 5	Usp5	sp|P56399|UBP5_MOUSE Ubiquitin carboxyl-terminal hydrolase 5 OS=Mus musculus OX=10090 GN=Usp5 PE=1 SV=1	1	10	10	10	14.3	14.3	14.3	95.832	858	858	4.64	2	2	1	2	1	1	3	2	0	169.76	33099000	16476000	30114000	17806000	17885000	15217000	274180	15892000	17938000	23273000	31191000	15418000	30647000	17948000	18315000	15694000	1695000	16608000	16774000	22196000	16	16	16	16	16	16	8	16	16	16	3479700000	17				639	390;2395;4915;6454;7189;7361;8264;12079;13893;14127	True;True;True;True;True;True;True;True;True;True	415;2558;5228;6846;7629;7807;8757;12906;14845;15090	1110;1111;1112;6771;13761;17981;19986;19987;19988;20407;22686;33252;38306;38944	1147;1148;1149;1150;1151;7091;14461;18803;18804;20858;20859;21299;23724;23725;34575;39805;40483	1148;7091;14461;18803;20859;21299;23724;34575;39805;40483			-1
